2026-07-29 19:07:29 +0800	63a80e2c474afafd4ab22e38a3c67fcdd45422a8	origin/codex/stage2-five-gpu-runtime-20260728	test(stage2): update fusion map action fixture
2026-07-28 15:09:38 +0800	117f94590eb8bf22d40ff1f47abc518cebf53b74	origin/codex/stage2-k-presets-network-budget-20260728	fix: disable stage2 training in Paean final eval
2026-07-28 15:09:38 +0800	117f94590eb8bf22d40ff1f47abc518cebf53b74	origin/jk_standard_rl	fix: disable stage2 training in Paean final eval
2026-07-27 23:54:03 +0800	ad810c1724da759d23ef4ed6f1077dc2b24d3b52	origin/codex/stage2-18-group-eval-20260727	docs: archive stage2 27-group evaluation evidence
2026-07-27 22:14:17 +0800	54dfeaa085fc2aa8da9523fb4707451fbde01634	origin/codex/all-agents-k6-13-integrated-20260727	test: record stage2 K6 K7 server gate
2026-07-27 19:32:56 +0800	88e6978defeea4725f49490201b6583245c1b37f	origin/codex/truncation-k6-13-20260727	test: inject shared final-eval action validator
2026-07-27 16:20:00 +0800	15aa8d85c7f1a99501cef232fcd83af2fa0468fe	origin/codex/task6-docs-k6-13	docs: record stage2 k6 to k13 contract
2026-07-27 14:03:41 +0800	1f32a793cda54b72e19319fa172eb51c458d7198	origin/codex/all-agents-elastic-rl-integrated-20260727	docs(elastic): archive dedicated three-GPU evidence
2026-07-27 11:14:26 +0800	eee7d21513ffee103359d97e37acc33a31346000	origin/codex/elastic-rl-gpu-scheduling-20260726	docs(elastic): include server test logs
2026-07-26 15:25:37 +0800	efc7e1055ce95f119e374187f8ad563c24e5c848	origin/codex/l0-block1-k-rl-20260726	feat(stage2): enable layer0 block1 truncation K
2026-07-26 02:54:33 +0800	264e4002860818e87c1933006df678af8464d1c2	origin/codex/bert-large-mrpc-exact-probe-scheduling-20260725	feat(stage2): add protected K1 terminal screening
2026-07-25 04:18:16 +0800	e1a1bba96502ef5a49bdae1749f0434908f97452	origin/codex/stage1best-large-stage2-training-20260725	Fix large-profile fusion checkpoint reconstruction
2026-07-25 01:32:29 +0800	41b57eae9cd3299945c2bc0d9f924f1e3637a4cc	origin/codex/stage1best-large-stage2-chain-eval-20260725	docs: signal completion for downstream agent
2026-07-24 23:49:20 +0800	39abb31bbed11614033a5042e9722987116aac2d	origin/codex/rl-end-to-end-runtime-optimization-20260724	docs: archive RL runtime optimization evidence
2026-07-24 15:24:02 +0800	accc27d65b6e99435913c3f1bed8629e755742e8	origin/codex/all-agents-integrated-20260724	docs: require aggregate server source sync
2026-07-24 14:52:44 +0800	2356a58fabf20ad1744be0f7d998acfcad9232a2	origin/codex/stage2-runtime-efficiency-integrated-3d89	docs: record integrated Stage-2 runtime verification
2026-07-22 16:54:28 +0800	3d89b99dd609a67799811a4bf995000bafe1436c	origin/codex/stage2-small-a2d-index-integrated	bench(stage2): reject larger probe batches under exact parity
2026-07-22 16:54:28 +0800	3d89b99dd609a67799811a4bf995000bafe1436c	origin/codex/stage2-terminal-probe-opt-97079	bench(stage2): reject larger probe batches under exact parity
