family,label,probe_size_requested,k_value,trial,loss,p,s,time_ms
max_action,Max-Action,32,5,1,1.116242527961731,0.375,0.20454545454545453,367.30480194091797
max_action,Max-Action,32,5,2,1.1234134435653687,0.375,0.20454545454545453,105.95917701721191
max_action,Max-Action,32,5,3,1.1114773750305176,0.375,0.20454545454545453,142.32945442199707
max_action,Max-Action,32,5,4,1.113325834274292,0.375,0.20454545454545453,79.91814613342285
max_action,Max-Action,32,5,5,1.114849328994751,0.375,0.20454545454545453,79.54120635986328
random_control,Random-Control,32,5,1,0.4061330556869507,0.75,0.75,155.63178062438965
random_control,Random-Control,32,5,2,0.44549766182899475,0.75,0.75,118.80302429199219
random_control,Random-Control,32,5,3,0.28258922696113586,0.875,0.8681818181818182,112.8091812133789
random_control,Random-Control,32,5,4,0.28911349177360535,0.75,0.75,117.00820922851562
random_control,Random-Control,32,5,5,0.3015676736831665,0.875,0.8681818181818182,111.47189140319824
