family,label,probe_size_requested,probe_size_observed,k_value,loss_mean,loss_std,p_mean,p_std,s_mean,s_std,time_mean_ms,time_std_ms,approx_total_cost,gelu_cost,softmax_cost,noise_total_cost
max_action,Max-Action,32,32,5,1.204900336265564,0.0010742614623293,0.3125,0.0,0.1488095238095238,0.0,143.4248447418213,65.3270995652148,0.0,-12.0,12.0,49.2
max_action,Max-Action,32,32,10,1.205070173740387,0.0025525935352226814,0.3125,0.0,0.14880952380952378,2.7755575615628914e-17,109.09745693206787,3.544796977516497,0.0,-12.0,12.0,49.2
max_action,Max-Action,64,64,5,1.205718958377838,0.0013768339559979725,0.3125,0.0,0.1488095238095238,0.0,110.60240268707275,0.4878989723012839,0.0,-12.0,12.0,49.2
max_action,Max-Action,64,64,10,1.2061686515808105,0.0013476585680147627,0.3125,0.0,0.14880952380952378,2.7755575615628914e-17,110.56084036827087,0.9536765323739831,0.0,-12.0,12.0,49.2
max_action,Max-Action,128,128,5,1.206601071357727,0.0013818890502569118,0.3125,0.0,0.1488095238095238,0.0,111.7673397064209,0.6881523624885659,0.0,-12.0,12.0,49.2
max_action,Max-Action,128,128,10,1.2064995810389518,0.0013860515732919809,0.3125,0.0,0.14880952380952378,2.7755575615628914e-17,112.18309998512268,0.42362890005044657,0.0,-12.0,12.0,49.2
max_action,Max-Action,256,256,5,1.2005414687097073,0.00026557359066990964,0.31640625,0.0,0.15210033382789317,0.0,114.6134078502655,0.6125479959581813,0.0,-12.0,12.0,49.2
max_action,Max-Action,256,256,10,1.2001722991466521,0.0008053817956641444,0.31640625,0.0,0.15210033382789317,0.0,118.55013519525528,1.540631730937668,0.0,-12.0,12.0,49.2
random_control,Random-Control,32,32,5,0.5092278480529785,0.02776089723397446,0.775,0.023385358667337132,0.7719088038600039,0.023474800355311225,216.42918586730957,1.3584896729298181,40.0,14.5,25.5,41.5
random_control,Random-Control,32,32,10,0.5090030193328857,0.04042252722688837,0.759375,0.04851304592581256,0.7546610402972466,0.050273406491486636,216.3331389427185,1.430071948448507,40.0,14.5,25.5,41.5
random_control,Random-Control,64,64,5,0.4198053151369095,0.02078003294140344,0.803125,0.01593443597997745,0.8052558087586374,0.014646339911316902,219.24124956130981,1.8252404659384,40.0,14.5,25.5,41.5
random_control,Random-Control,64,64,10,0.4068285904824734,0.027989415557816418,0.8109375,0.0214808235701055,0.812173603941817,0.020646967330972786,219.97137069702148,1.561060736833779,40.0,14.5,25.5,41.5
random_control,Random-Control,128,128,5,0.37934152483940126,0.013141818276628837,0.834375,0.011481983169296146,0.8351616606799311,0.011405894239468464,224.22264218330383,2.44501988444255,40.0,14.5,25.5,41.5
random_control,Random-Control,128,128,10,0.37159916907548907,0.014245428509657751,0.83203125,0.010626148834949565,0.8331243826933481,0.010222786258407827,224.07612800598145,1.8718591812788152,40.0,14.5,25.5,41.5
random_control,Random-Control,256,256,5,0.43208923740312455,0.008912159887247183,0.79765625,0.01316585902058806,0.7983030618274081,0.013327851301864226,227.15763747692108,1.328870950912896,40.0,14.5,25.5,41.5
random_control,Random-Control,256,256,10,0.43661007480695846,0.013180219823974638,0.79375,0.011428702217443588,0.7945456127042312,0.011646230364222626,228.40670198202133,1.4980065353596843,40.0,14.5,25.5,41.5
