[Rank 0] 
==================== NEW EVALUATION SESSION ====================
[Rank 0] RL Step 1 | Applying configuration...
[Rank 0] --- RL Step 1/100 Started ---
[Rank 0] RL Step 1 | Batch 1/100 | Batch Loss: 0.2300
[Rank 0] RL Step 1 | Batch 2/100 | Batch Loss: 0.4528
[Rank 0] RL Step 1 | Batch 3/100 | Batch Loss: 0.2500
[Rank 0] RL Step 1 | Batch 4/100 | Batch Loss: 0.4283
[Rank 0] RL Step 1 | Batch 5/100 | Batch Loss: 0.3926
[Rank 0] RL Step 1 | Batch 6/100 | Batch Loss: 0.2501
[Rank 0] RL Step 1 | Batch 7/100 | Batch Loss: 0.3851
[Rank 0] RL Step 1 | Batch 8/100 | Batch Loss: 0.2785
[Rank 0] RL Step 1 | Batch 9/100 | Batch Loss: 0.4673
[Rank 0] RL Step 1 | Batch 10/100 | Batch Loss: 0.2191
[Rank 0] RL Step 1 | Batch 11/100 | Batch Loss: 0.2396
[Rank 0] RL Step 1 | Batch 12/100 | Batch Loss: 0.6080
[Rank 0] RL Step 1 | Batch 13/100 | Batch Loss: 0.1876
[Rank 0] RL Step 1 | Batch 14/100 | Batch Loss: 0.5050
[Rank 0] RL Step 1 | Batch 15/100 | Batch Loss: 0.1959
[Rank 0] RL Step 1 | Batch 16/100 | Batch Loss: 0.3181
[Rank 0] RL Step 1 | Batch 17/100 | Batch Loss: 0.1920
[Rank 0] RL Step 1 | Batch 18/100 | Batch Loss: 0.4464
[Rank 0] RL Step 1 | Batch 19/100 | Batch Loss: 0.2176
[Rank 0] RL Step 1 | Batch 20/100 | Batch Loss: 0.1839
[Rank 0] RL Step 1 | Batch 21/100 | Batch Loss: 0.5272
[Rank 0] RL Step 1 | Batch 22/100 | Batch Loss: 0.6240
[Rank 0] RL Step 1 | Batch 23/100 | Batch Loss: 0.3196
[Rank 0] RL Step 1 | Batch 24/100 | Batch Loss: 0.4841
[Rank 0] RL Step 1 | Batch 25/100 | Batch Loss: 0.5089
