episode,total_reward,terminal_reward,terminal_priority,terminal_loss_mean,terminal_loss_std,terminal_metric1_mean,terminal_metric2_mean,terminal_metric1_std,terminal_metric2_std,terminal_stab_excess_m1,terminal_stab_excess_m2,terminal_stab_excess_loss,terminal_stab_violation,valid_steps,invalid_steps,total_bits,safe_neighbor_active,safe_neighbor_mutation_count,safe_neighbor_radius,exploration_mode,guarded_radius2_active,guarded_radius2_recent_frontier_expansions,guarded_radius2_recent_duplicate_rate,guarded_radius2_recent_dominated_rate,guarded_radius2_cooldown_remaining,guarded_radius2_safe_offset_count,samples_rejected_by_mask,samples_rejected_by_optimizer,steps_fallen_back_to_baseline,forbidden_mask_total,static_invalid_level_disabled,static_invalid_level_applied,static_invalid_level_scan_evaluated,static_invalid_level_scan_invalid,empirical_invalid_level_disabled,empirical_invalid_level_applied,rejection_optimizer_wall_seconds,baseline_prior_scale,base_action_source,proposal_direction,empirical_offset_success_rate,empirical_offset_failure_rate,frontier_seed_episode
0,37.222339744732274,40.19512195121951,3,0.34360575675964355,0.0,0.8671875,0.8671875,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
1,37.222339744732274,40.19512195121951,3,0.34446775913238525,0.0,0.8671875,0.8671875,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
2,37.06990072034203,40.042682926829265,3,0.3408085107803345,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
3,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
4,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
5,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
6,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
7,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
8,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
9,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
10,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
11,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
12,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
13,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
14,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
15,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
16,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
17,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
18,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
19,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
20,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
21,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
22,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
23,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
24,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
25,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
26,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
27,37.06990072034203,40.042682926829265,3,0.33859699964523315,0.0,0.86328125,0.86328125,0.0,0.0,0.0,0.0,0.0,0.0,59,0,14779,False,0,0,forced_baseline|cached_reward_hit|validation_required,False,0,0.0,0.0,0,0,0,0,0,0,56,56,2699,56,0,0,0.0,1.2,baseline,anchor,0.0,0.0,-1
