2026-08-03T14:38:22 ep=600 rolling600: reward=-2.597 P1=463 P2=58 P3=79 fusion=28.83 (b2=12.0 b4=4.8 b5=12.0) margin=0.0000
2026-08-03T14:57:03 ep=1200 rolling600: reward=-2.608 P1=468 P2=54 P3=78 fusion=28.15 (b2=12.0 b4=4.2 b5=12.0) margin=0.0000
2026-08-03T15:25:14 ep=1800 rolling600: reward=-2.410 P1=447 P2=48 P3=105 fusion=28.32 (b2=12.0 b4=4.3 b5=12.0) margin=0.0000
2026-08-03T15:45:30 ep=2400 rolling600: reward=-2.307 P1=440 P2=39 P3=121 fusion=28.42 (b2=12.0 b4=4.4 b5=12.0) margin=0.0000
2026-08-03T15:55:57 ep=3000 rolling600: reward=-2.218 P1=416 P2=60 P3=124 fusion=28.09 (b2=12.0 b4=4.1 b5=12.0) margin=0.0000
2026-08-03T16:09:31 ep=3600 rolling600: reward=-2.019 P1=384 P2=71 P3=145 fusion=28.42 (b2=12.0 b4=4.4 b5=12.0) margin=0.0000
2026-08-03T16:24:58 ep=4200 rolling600: reward=-1.465 P1=318 P2=65 P3=217 fusion=27.79 (b2=12.0 b4=3.8 b5=12.0) margin=0.0000
2026-08-03T16:39:01 ep=4800 rolling600: reward=-1.258 P1=290 P2=69 P3=241 fusion=27.57 (b2=12.0 b4=3.6 b5=12.0) margin=0.0000
2026-08-03T16:51:19 ep=5400 rolling600: reward=-0.946 P1=254 P2=63 P3=283 fusion=27.49 (b2=12.0 b4=3.5 b5=12.0) margin=0.0000
2026-08-03T17:00:23 ep=6000 rolling600: reward=-0.933 P1=253 P2=62 P3=285 fusion=27.30 (b2=12.0 b4=3.3 b5=12.0) margin=0.0000
2026-08-03T17:08:11 ep=6600 rolling600: reward=-0.844 P1=237 P2=68 P3=295 fusion=26.69 (b2=12.0 b4=2.7 b5=12.0) margin=0.0000
2026-08-03T17:15:03 ep=7200 rolling600: reward=-0.629 P1=210 P2=65 P3=325 fusion=26.54 (b2=12.0 b4=2.5 b5=12.0) margin=0.0000
2026-08-03T17:21:56 ep=7800 rolling600: reward=-0.407 P1=189 P2=50 P3=361 fusion=26.25 (b2=12.0 b4=2.2 b5=12.0) margin=0.0000
2026-08-03T17:28:49 ep=8400 rolling600: reward=-0.605 P1=210 P2=59 P3=331 fusion=26.36 (b2=12.0 b4=2.4 b5=12.0) margin=0.0000
2026-08-03T17:35:42 ep=9000 rolling600: reward=-0.560 P1=208 P2=51 P3=341 fusion=26.17 (b2=12.0 b4=2.2 b5=12.0) margin=0.0000
2026-08-03T17:42:36 ep=9600 rolling600: reward=-0.471 P1=200 P2=44 P3=356 fusion=26.02 (b2=12.0 b4=2.0 b5=12.0) margin=0.0000
2026-08-03T17:49:29 ep=10200 rolling600: reward=-0.581 P1=217 P2=43 P3=340 fusion=26.01 (b2=12.0 b4=2.0 b5=12.0) margin=0.0000
2026-08-03T17:56:23 ep=10800 rolling600: reward=-0.418 P1=195 P2=42 P3=363 fusion=26.11 (b2=12.0 b4=2.1 b5=12.0) margin=0.0000
2026-08-03T18:03:17 ep=11400 rolling600: reward=-0.495 P1=207 P2=43 P3=350 fusion=26.21 (b2=12.0 b4=2.2 b5=12.0) margin=0.0000
2026-08-03T18:10:11 ep=12000 rolling600: reward=-0.430 P1=196 P2=46 P3=358 fusion=26.31 (b2=12.0 b4=2.3 b5=12.0) margin=0.0000
2026-08-03T18:17:23 ep=12600 rolling600: reward=-0.422 P1=205 P2=31 P3=364 fusion=26.30 (b2=12.0 b4=2.3 b5=12.0) margin=0.0000
2026-08-03T18:24:17 ep=13200 rolling600: reward=-0.410 P1=201 P2=39 P3=360 fusion=26.42 (b2=12.0 b4=2.4 b5=12.0) margin=0.0000
2026-08-03T18:32:27 ep=13800 rolling600: reward=-0.321 P1=186 P2=44 P3=370 fusion=26.62 (b2=12.0 b4=2.6 b5=12.0) margin=0.0000
2026-08-03T18:39:58 ep=14400 rolling600: reward=-0.089 P1=160 P2=36 P3=404 fusion=26.36 (b2=12.0 b4=2.4 b5=12.0) margin=0.0000
2026-08-03T18:46:51 ep=15000 rolling600: reward=-0.203 P1=168 P2=46 P3=386 fusion=26.34 (b2=12.0 b4=2.3 b5=12.0) margin=0.0000
2026-08-03T18:53:45 ep=15600 rolling600: reward=-0.144 P1=174 P2=25 P3=401 fusion=26.26 (b2=12.0 b4=2.3 b5=12.0) margin=0.0000
2026-08-03T19:00:39 ep=16200 rolling600: reward=-0.177 P1=175 P2=33 P3=392 fusion=26.36 (b2=12.0 b4=2.4 b5=12.0) margin=0.0000
2026-08-03T19:07:33 ep=16800 rolling600: reward=-0.218 P1=183 P2=30 P3=387 fusion=26.61 (b2=12.0 b4=2.6 b5=12.0) margin=0.0000
2026-08-03T19:14:37 ep=17400 rolling600: reward=0.127 P1=142 P2=25 P3=433 fusion=26.71 (b2=12.0 b4=2.7 b5=12.0) margin=0.0000
2026-08-03T19:22:18 ep=18000 rolling600: reward=0.109 P1=143 P2=28 P3=429 fusion=26.82 (b2=12.0 b4=2.8 b5=12.0) margin=0.0000
2026-08-03T19:30:19 ep=18600 rolling600: reward=0.150 P1=143 P2=23 P3=434 fusion=26.81 (b2=12.0 b4=2.8 b5=12.0) margin=0.0000
2026-08-03T19:37:41 ep=19200 rolling600: reward=0.037 P1=156 P2=26 P3=418 fusion=26.72 (b2=12.0 b4=2.7 b5=12.0) margin=0.0000
2026-08-03T19:46:38 ep=19800 rolling600: reward=0.072 P1=151 P2=25 P3=424 fusion=26.71 (b2=12.0 b4=2.7 b5=12.0) margin=0.0000
2026-08-03T19:55:44 ep=20400 rolling600: reward=0.148 P1=145 P2=20 P3=435 fusion=26.71 (b2=12.0 b4=2.7 b5=12.0) margin=0.0000
2026-08-03T20:05:00 ep=21000 rolling600: reward=0.173 P1=140 P2=23 P3=437 fusion=26.68 (b2=12.0 b4=2.7 b5=12.0) margin=0.0000
2026-08-03T20:14:16 ep=21600 rolling600: reward=0.147 P1=143 P2=25 P3=432 fusion=26.82 (b2=12.0 b4=2.8 b5=12.0) margin=0.0000
2026-08-03T20:21:12 ep=22200 rolling600: reward=0.046 P1=149 P2=33 P3=418 fusion=26.69 (b2=12.0 b4=2.7 b5=12.0) margin=0.0000
2026-08-03T20:28:07 ep=22800 rolling600: reward=0.101 P1=145 P2=28 P3=427 fusion=26.68 (b2=12.0 b4=2.7 b5=12.0) margin=0.0000
2026-08-03T20:35:03 ep=23400 rolling600: reward=-0.088 P1=174 P2=21 P3=405 fusion=26.55 (b2=12.0 b4=2.5 b5=12.0) margin=0.0000
2026-08-03T20:42:09 ep=24000 rolling600: reward=0.152 P1=143 P2=21 P3=436 fusion=26.64 (b2=12.0 b4=2.6 b5=12.0) margin=0.0000
2026-08-03T20:49:03 ep=24600 rolling600: reward=0.184 P1=136 P2=26 P3=438 fusion=26.69 (b2=12.0 b4=2.7 b5=12.0) margin=0.0000
2026-08-03T20:55:59 ep=25200 rolling600: reward=-0.023 P1=163 P2=24 P3=413 fusion=26.77 (b2=12.0 b4=2.8 b5=12.0) margin=0.0000
