=== PPO强化学习优化日志已启动（PPO RL Optimization Log Started） ===
[信息] PPO学习率（LR）从 rl_lr=20 解析为 -> 2e-05 (legacy-micro)
[信息] 第一阶段RL回合数（Stage-1 RL episodes）: 15000 | 第二阶段RL回合数（Stage-2 RL episodes）: 30000
[信息] 统一运行输出目录（Unified run output dir）: rl_results/layer_importance_runs/mrpc/20260410_034932_pid931495

Stage-1 GELU distribution screening for degree-0 eligibility:
  layer=00  <-2.7= 39.58%  [-2.7,0)= 54.03%  [0,2.7]=  6.02%  >2.7=  0.38%  status=not_eligible
  layer=01  <-2.7= 28.00%  [-2.7,0)= 66.77%  [0,2.7]=  5.11%  >2.7=  0.11%  status=not_eligible
  layer=02  <-2.7= 32.84%  [-2.7,0)= 63.27%  [0,2.7]=  3.83%  >2.7=  0.05%  status=not_eligible
  layer=03  <-2.7= 27.34%  [-2.7,0)= 67.74%  [0,2.7]=  4.88%  >2.7=  0.04%  status=not_eligible
  layer=04  <-2.7= 24.89%  [-2.7,0)= 69.97%  [0,2.7]=  5.08%  >2.7=  0.06%  status=not_eligible
  layer=05  <-2.7= 21.53%  [-2.7,0)= 72.96%  [0,2.7]=  5.46%  >2.7=  0.05%  status=not_eligible
  layer=06  <-2.7= 23.04%  [-2.7,0)= 72.29%  [0,2.7]=  4.62%  >2.7=  0.05%  status=not_eligible
  layer=07  <-2.7= 17.62%  [-2.7,0)= 77.91%  [0,2.7]=  4.42%  >2.7=  0.04%  status=not_eligible
  layer=08  <-2.7= 13.84%  [-2.7,0)= 81.25%  [0,2.7]=  4.88%  >2.7=  0.04%  status=not_eligible
  layer=09  <-2.7= 11.70%  [-2.7,0)= 84.88%  [0,2.7]=  3.39%  >2.7=  0.02%  status=not_eligible
  layer=10  <-2.7=  7.71%  [-2.7,0)= 88.63%  [0,2.7]=  3.65%  >2.7=  0.01%  status=not_eligible
  layer=11  <-2.7=  3.39%  [-2.7,0)= 91.03%  [0,2.7]=  5.54%  >2.7=  0.05%  status=not_eligible

Stage-1 baseline and constraints:
  baseline metrics on validation_full: 损失（Loss）: 0.341358, Accuracy: 0.879902, F1: 0.877442
  simulated cost: total=72.00, gelu=36.00, softmax=36.00
  constraints: 损失（Loss）<=0.3564, Accuracy>=0.8667, F1>=0.8643

Stage-1 Genetic Search follows COINN: score-guided random selection and adjacent-mesh mutation, without PPO and without crossover.
Per-layer valid mesh states:
  layer=00  valid_states=15  states=[(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)]
  layer=01  valid_states=15  states=[(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)]
  layer=02  valid_states=15  states=[(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)]
  layer=03  valid_states=15  states=[(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)]
  layer=04  valid_states=15  states=[(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)]
  layer=05  valid_states=15  states=[(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)]
  layer=06  valid_states=15  states=[(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)]
  layer=07  valid_states=15  states=[(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)]
  layer=08  valid_states=12  states=[(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (1, 6), (1, 5)]
  layer=09  valid_states=15  states=[(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)]
  layer=10  valid_states=15  states=[(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)]
  layer=11  valid_states=15  states=[(4, 6), (4, 5), (4, 4), (4, 3), (4, 2), (2, 6), (2, 5), (2, 4), (2, 3), (2, 2), (1, 6), (1, 5), (1, 4), (1, 3), (1, 2)]
Initial population size=32  max_generations=469  stagnation_tolerance=156  diversity_injection_at=78
[Stage1][Gen 0001] gen_best_score=1.061376  gen_best_cost=67.50  global_best_score=1.061376  global_best_cost=67.50  feasible_ratio=100.00%  stagnation=0/156
[Stage1][Gen 0002] gen_best_score=1.079474  gen_best_cost=67.00  global_best_score=1.079474  global_best_cost=67.00  feasible_ratio=96.88%  stagnation=0/156
[Stage1][Gen 0003] gen_best_score=1.096242  gen_best_cost=66.00  global_best_score=1.096242  global_best_cost=66.00  feasible_ratio=96.88%  stagnation=0/156
[Stage1][Gen 0004] gen_best_score=1.117075  gen_best_cost=64.00  global_best_score=1.117075  global_best_cost=64.00  feasible_ratio=100.00%  stagnation=0/156
[Stage1][Gen 0005] gen_best_score=1.154382  gen_best_cost=62.00  global_best_score=1.154382  global_best_cost=62.00  feasible_ratio=100.00%  stagnation=0/156
[Stage1][Gen 0006] gen_best_score=1.154382  gen_best_cost=62.00  global_best_score=1.154382  global_best_cost=62.00  feasible_ratio=100.00%  stagnation=1/156
[Stage1][Gen 0007] gen_best_score=1.214798  gen_best_cost=59.00  global_best_score=1.214798  global_best_cost=59.00  feasible_ratio=100.00%  stagnation=0/156
[Stage1][Gen 0008] gen_best_score=1.214798  gen_best_cost=59.00  global_best_score=1.214798  global_best_cost=59.00  feasible_ratio=100.00%  stagnation=1/156
[Stage1][Gen 0009] gen_best_score=1.217020  gen_best_cost=58.50  global_best_score=1.217020  global_best_cost=58.50  feasible_ratio=96.88%  stagnation=0/156
[Stage1][Gen 0010] gen_best_score=1.229295  gen_best_cost=58.50  global_best_score=1.229295  global_best_cost=58.50  feasible_ratio=100.00%  stagnation=0/156
[Stage1][Gen 0011] gen_best_score=1.234569  gen_best_cost=58.00  global_best_score=1.234569  global_best_cost=58.00  feasible_ratio=96.88%  stagnation=0/156
[Stage1][Gen 0012] gen_best_score=1.257360  gen_best_cost=57.00  global_best_score=1.257360  global_best_cost=57.00  feasible_ratio=100.00%  stagnation=0/156
[Stage1][Gen 0013] gen_best_score=1.294237  gen_best_cost=55.00  global_best_score=1.294237  global_best_cost=55.00  feasible_ratio=96.88%  stagnation=0/156
[Stage1][Gen 0014] gen_best_score=1.294237  gen_best_cost=55.00  global_best_score=1.294237  global_best_cost=55.00  feasible_ratio=100.00%  stagnation=1/156
[Stage1][Gen 0015] gen_best_score=1.298063  gen_best_cost=55.00  global_best_score=1.298063  global_best_cost=55.00  feasible_ratio=100.00%  stagnation=0/156
[Stage1][Gen 0016] gen_best_score=1.341169  gen_best_cost=53.00  global_best_score=1.341169  global_best_cost=53.00  feasible_ratio=93.75%  stagnation=0/156
[Stage1][Gen 0017] gen_best_score=1.348588  gen_best_cost=53.00  global_best_score=1.348588  global_best_cost=53.00  feasible_ratio=93.75%  stagnation=0/156
[Stage1][Gen 0018] gen_best_score=1.348588  gen_best_cost=53.00  global_best_score=1.348588  global_best_cost=53.00  feasible_ratio=96.88%  stagnation=1/156
[Stage1][Gen 0019] gen_best_score=1.384184  gen_best_cost=52.00  global_best_score=1.384184  global_best_cost=52.00  feasible_ratio=90.62%  stagnation=0/156
[Stage1][Gen 0020] gen_best_score=1.384565  gen_best_cost=51.50  global_best_score=1.384565  global_best_cost=51.50  feasible_ratio=96.88%  stagnation=0/156
[Stage1][Gen 0021] gen_best_score=1.449948  gen_best_cost=49.00  global_best_score=1.449948  global_best_cost=49.00  feasible_ratio=96.88%  stagnation=0/156
[Stage1][Gen 0022] gen_best_score=1.476255  gen_best_cost=48.00  global_best_score=1.476255  global_best_cost=48.00  feasible_ratio=96.88%  stagnation=0/156
[Stage1][Gen 0023] gen_best_score=1.476255  gen_best_cost=48.00  global_best_score=1.476255  global_best_cost=48.00  feasible_ratio=90.62%  stagnation=1/156
[Stage1][Gen 0024] gen_best_score=1.483086  gen_best_cost=48.00  global_best_score=1.483086  global_best_cost=48.00  feasible_ratio=93.75%  stagnation=0/156
[Stage1][Gen 0025] gen_best_score=1.483774  gen_best_cost=48.00  global_best_score=1.483774  global_best_cost=48.00  feasible_ratio=93.75%  stagnation=0/156
[Stage1][Gen 0026] gen_best_score=1.516310  gen_best_cost=47.00  global_best_score=1.516310  global_best_cost=47.00  feasible_ratio=96.88%  stagnation=0/156
[Stage1][Gen 0027] gen_best_score=1.540948  gen_best_cost=46.00  global_best_score=1.540948  global_best_cost=46.00  feasible_ratio=96.88%  stagnation=0/156
[Stage1][Gen 0028] gen_best_score=1.560194  gen_best_cost=45.50  global_best_score=1.560194  global_best_cost=45.50  feasible_ratio=96.88%  stagnation=0/156
[Stage1][Gen 0029] gen_best_score=1.567334  gen_best_cost=45.00  global_best_score=1.567334  global_best_cost=45.00  feasible_ratio=84.38%  stagnation=0/156
[Stage1][Gen 0030] gen_best_score=1.603940  gen_best_cost=44.50  global_best_score=1.603940  global_best_cost=44.50  feasible_ratio=84.38%  stagnation=0/156
[Stage1][Gen 0031] gen_best_score=1.603940  gen_best_cost=44.50  global_best_score=1.603940  global_best_cost=44.50  feasible_ratio=96.88%  stagnation=1/156
[Stage1][Gen 0032] gen_best_score=1.614383  gen_best_cost=44.00  global_best_score=1.614383  global_best_cost=44.00  feasible_ratio=78.12%  stagnation=0/156
[Stage1][Gen 0033] gen_best_score=1.614383  gen_best_cost=44.00  global_best_score=1.614383  global_best_cost=44.00  feasible_ratio=93.75%  stagnation=1/156
